file_name,sample_id,group,ignore
DA01.methylation_results.bed,DA01,IDHmut,n
DA02.methylation_results.bed,DA02,GII/GIII,n
DA03.methylation_results.bed,DA03,GII/GIII,n
DA04.methylation_results.bed,DA04,GII/GIII,n
DA05.methylation_results.bed,DA05,IDHmut,n
DA06.methylation_results.bed,DA06,IDHmut,n
DA07.methylation_results.bed,DA07,GII/GIII,n
GB01.methylation_results.bed,GB01,GIV,n
GB02.methylation_results.bed,GB02,GIV,n
GB03.methylation_results.bed,GB03,GIV,n
GB04.methylation_results.bed,GB04,GIV,n
GB05.methylation_results.bed,GB05,GIV,n
GB06.methylation_results.bed,GB06,GIV,n
GB07.methylation_results.bed,GB07,IDHmut,n
GB08.methylation_results.bed,GB08,GIV,n
GB09.methylation_results.bed,GB09,GIV,n
GB10.methylation_results.bed,GB10,GIV,n
GB14.methylation_results.bed,GB14,GIV,n
NB2.methylation_results.bed,NB2,"",y
NB3.methylation_results.bed,NB3,"",y
PA01.methylation_results.bed,PA01,GI,y
PA02.methylation_results.bed,PA02,GI,y
PA03.methylation_results.bed,PA03,GI,y
PA04.methylation_results.bed,PA04,GI,y
PA05.methylation_results.bed,PA05,GI,y
PA06.methylation_results.bed,PA06,GI,y
PA07.methylation_results.bed,PA07,GI,y
PG11.methylation_results.bed,PG11,GIV,n
